Example 4-5: Calcium concentration in soil series from loessial
  plains (Soil Conservation Service, 1982 classification)
 
  Soil series number from arbitrary numbering
  Depth measured in 15 cm increments starting with 1 = 0 - 15 cm
 
    Soil    Depth      Sample         Calcium
   series increment  number (rep)  concentration
 ------------------------------------------------
     3        1          1            1139.5
     3        1          2            1241.0
     3        1          3            1198.5
     3        1          4             979.5
     3        1          5            1064.5
     3        2          1             551.0
     3        2          2             733.5
     3        2          3             722.5
     3        2          4             517.0
     3        2          5             861.5
     3        3          1             431.5
     3        3          2             428.0
     3        3          3             427.0
     3        3          4             378.5
     3        3          5             465.5
     3        4          1             395.5
     3        4          2             326.5
     3        4          3             311.0
     3        4          4             331.5
     3        4          5             365.0
     3        5          1             493.0
     3        5          2             441.5
     3        5          3             427.0
     3        5          4             357.0
     3        5          5             351.0
     4        1          1             780.0
     4        1          2             959.0
     4        1          3             927.0
     4        1          4             994.5
     4        1          5            1075.0
     4        2          1             727.5
     4        2          2             592.0
     4        2          3             556.5
     4        2          4             337.0
     4        2          5             771.5
     4        3          1             635.5
     4        3          2             544.5
     4        3          3             510.5
     4        3          4             374.5
     4        3          5             483.5
     4        4          1             695.5
     4        4          2             587.5
     4        4          3             568.0
     4        4          4             509.5
     4        4          5             610.5
     4        5          1             930.5
     4        5          2             765.0
     4        5          3             727.0
     4        5          4             681.0
     4        5          5             805.0
     7        1          1            2103.5
     7        1          2            1598.5
     7        1          3            1606.5
     7        1          4            1807.5
     7        1          5            1873.0
     7        2          1            1111.0
     7        2          2             537.5
     7        2          3             499.0
     7        2          4             954.0
     7        2          5             975.5
     7        3          1             418.5
     7        3          2             272.0
     7        3          3             258.5
     7        3          4             472.5
     7        3          5             515.0
     7        4          1             354.5
     7        4          2             276.0
     7        4          3             253.0
     7        4          4             399.5
     7        4          5             390.5
     7        5          1             492.5
     7        5          2             314.5
     7        5          3             298.0
     7        5          4             252.5
     7        5          5             286.0
    10        1          1            1319.0
    10        1          2            1030.0
    10        1          3             987.5
    10        1          4             959.0
    10        1          5            1032.5
    10        2          1             886.0
    10        2          2             627.5
    10        2          3             599.5
    10        2          4             662.0
    10        2          5             555.5
    10        3          1             490.0
    10        3          2             427.5
    10        3          3             404.0
    10        3          4             386.5
    10        3          5             309.5
    10        4          1             478.0
    10        4          2             239.5
    10        4          3             243.0
    10        4          4             209.0
    10        4          5             333.0
    10        5          1             417.5
    10        5          2             328.5
    10        5          3             320.0
    10        5          4             109.0
    10        5          5             373.0
    13        1          1            1247.5
    13        1          2             875.5
    13        1          3             851.0
    13        1          4             805.0
    13        1          5            1017.5
    13        2          1             913.5
    13        2          2            1062.5
    13        2          3            1029.5
    13        2          4             933.5
    13        2          5             755.5
    13        3          1               .
    13        3          2             365.0
    13        3          3             369.0
    13        3          4             699.5
    13        3          5             314.5
    13        4          1             302.5
    13        4          2             360.0
    13        4          3             358.0
    13        4          4             193.5
    13        4          5             250.5
    13        5          1             338.0
    13        5          2             440.5
    13        5          3             414.5
    13        5          4             311.5
    13        5          5             311.5
    16        1          1             961.0
    16        1          2             894.0
    16        1          3             881.0
    16        1          4             844.0
    16        1          5             889.5
    16        2          1             539.0
    16        2          2             454.5
    16        2          3             446.0
    16        2          4             319.0
    16        2          5             554.0
    16        3          1             298.5
    16        3          2             252.0
    16        3          3             240.0
    16        3          4             226.5
    16        3          5              19.0
    16        4          1             264.0
    16        4          2             227.0
    16        4          3             209.5
    16        4          4             202.0
    16        4          5             228.5
    16        5          1             291.5
    16        5          2             368.0
    16        5          3             358.5
    16        5          4             322.0
    16        5          5             324.5
