Example 5-20: Stink bug damage to soybean pods
 
  Stink bug       Plant        Pod     Shriveling
   species       number      number      rating
 ------------------------------------------------
  Untreated         1           1           1
  Untreated         1           2           1
  Untreated         1           3           1
  Untreated         1           4           2
  Untreated         1           5           1
  Untreated         1           6           1
  Untreated         1           7           2
  Untreated         1           8           1
  Untreated         1           9           1
  Untreated         1          10           1
  Untreated         1          11           2
  Untreated         1          12           1
  Untreated         1          13           1
  Untreated         1          14           2
  Untreated         1          15           1
  Untreated         1          16           1
  Untreated         1          17           1
  Untreated         1          18           1
  Untreated         1          19           1
  Untreated         1          20           1
  Untreated         1          21           1
  Untreated         1          22           1
  Untreated         1          23           1
  Untreated         1          24           1
  Untreated         1          25           2
  Untreated         1          26           1
  Untreated         1          27           1
  Untreated         1          28           1
  Untreated         1          29           1
  Untreated         1          30           1
  Untreated         1          31           1
  Untreated         1          32           1
  Untreated         1          33           1
  Untreated         1          34           1
  Untreated         1          35           1
  Untreated         1          36           3
  Untreated         1          37           1
  Untreated         1          38           1
  Untreated         1          39           1
  Untreated         1          40           1
  Untreated         1          41           1
  Untreated         1          42           1
  Untreated         1          43           1
  Untreated         1          44           1
  Untreated         1          45           2
  Untreated         1          46           1
  Untreated         1          47           1
  Untreated         1          48           1
  Untreated         2           1           2
  Untreated         2           2           2
  Untreated         2           3           2
  Untreated         2           4           2
  Untreated         2           5           2
  Untreated         2           6           1
  Untreated         2           7           2
  Untreated         2           8           1
  Untreated         2           9           2
  Untreated         2          10           1
  Untreated         2          11           1
  Untreated         2          12           2
  Untreated         2          13           1
  Untreated         2          14           1
  Untreated         2          15           1
  Untreated         2          16           1
  Untreated         2          17           2
  Untreated         2          18           1
  Untreated         2          19           1
  Untreated         2          20           2
  Untreated         2          21           1
  Untreated         2          22           2
  Untreated         2          23           1
  Untreated         2          24           2
  Untreated         2          25           1
  Untreated         2          26           1
  Untreated         2          27           2
  Untreated         2          28           1
  Untreated         2          29           1
  Untreated         2          30           1
  Untreated         2          31           1
  Untreated         2          32           1
  Untreated         2          33           4
  Untreated         2          34           1
  Untreated         3           1           1
  Untreated         3           2           1
  Untreated         3           3           2
  Untreated         3           4           1
  Untreated         3           5           1
  Untreated         3           6           1
  Untreated         3           7           2
  Untreated         3           8           1
  Untreated         3           9           1
  Untreated         3          10           5
  Untreated         3          11           1
  Untreated         3          12           1
  Untreated         3          13           1
  Untreated         3          14           1
  Untreated         3          15           1
  Untreated         3          16           1
  Untreated         3          17           1
  Untreated         3          18           1
  Untreated         3          19           5
  Untreated         3          20           1
  Untreated         3          21           5
  Untreated         3          22           1
  Untreated         3          23           1
  Untreated         3          24           1
  Untreated         3          25           1
  Untreated         3          26           1
  Untreated         3          27           1
  Untreated         3          28           1
  Untreated         3          29           1
  Untreated         3          30           1
  Untreated         3          31           1
  Untreated         3          32           1
  Untreated         3          33           1
  Untreated         4           1           5
  Untreated         4           2           1
  Untreated         4           3           1
  Untreated         4           4           1
  Untreated         4           5           1
  Untreated         4           6           1
  Untreated         4           7           1
  Untreated         4           8           1
  Untreated         4           9           1
  Untreated         4          10           1
  Untreated         4          11           1
  Untreated         4          12           1
  Untreated         4          13           1
  Untreated         4          14           2
  Untreated         4          15           1
  Untreated         4          16           1
  Untreated         4          17           1
  Untreated         4          18           1
  Untreated         4          19           1
  Untreated         4          20           1
  Untreated         4          21           1
  Untreated         4          22           5
  Untreated         4          23           1
  Untreated         4          24           1
  Untreated         4          25           1
  Untreated         4          26           5
  Untreated         4          27           5
  Untreated         4          28           1
  Untreated         4          29           1
  Untreated         4          30           5
  Untreated         4          31           1
  Untreated         4          32           5
  Untreated         4          33           2
  Untreated         4          34           1
  Untreated         4          35           1
  Untreated         4          36           1
  Untreated         4          37           2
  Untreated         4          38           1
  Untreated         4          39           1
  Untreated         5           1           1
  Untreated         5           2           1
  Untreated         5           3           1
  Untreated         5           4           1
  Untreated         5           5           1
  Untreated         5           6           2
  Untreated         5           7           5
  Untreated         5           8           1
  Untreated         5           9           5
  Untreated         5          10           1
  Untreated         5          11           1
  Untreated         5          12           1
  Untreated         5          13           1
  Untreated         5          14           1
  Untreated         5          15           1
  Untreated         5          16           5
  Untreated         5          17           1
  Untreated         5          18           1
  Untreated         5          19           1
  Untreated         5          20           1
