Example 5-9: Restoration of Nebraska Sand Hills
 
        Cultural   Seed   Number of
Block   practice    mix    plants
------------------------------------
  1        1         1       14
  1        1         2        7
  1        1         3        5
  1        1         4        7
  1        2         1        5
  1        2         2       14
  1        2         3        5
  1        2         4        9
  1        3         1        0
  1        3         2        0
  1        3         3       10
  1        3         4       13
  1        4         1       20
  1        4         2       53
  1        4         3       21
  1        4         4        7
  1        5         1       12
  1        5         2       31
  1        5         3       32
  1        5         4       22
  1        6         1       49
  1        6         2       16
  1        6         3        7
  1        6         4       14
  1        7         1       20
  1        7         2       20
  1        7         3       16
  1        7         4        6
  2        1         1        9
  2        1         2        9
  2        1         3        9
  2        1         4       19
  2        2         1       31
  2        2         2       11
  2        2         3       30
  2        2         4       29
  2        3         1       25
  2        3         2       11
  2        3         3       15
  2        3         4       23
  2        4         1        7
  2        4         2       22
  2        4         3       20
  2        4         4        3
  2        5         1        0
  2        5         2       28
  2        5         3       18
  2        5         4       18
  2        6         1       55
  2        6         2       58
  2        6         3       18
  2        6         4       19
  2        7         1       14
  2        7         2       44
  2        7         3       19
  2        7         4       17
  3        1         1       12
  3        1         2        8
  3        1         3       44
  3        1         4        0
  3        2         1       29
  3        2         2       11
  3        2         3        5
  3        2         4       49
  3        3         1       99
  3        3         2       66
  3        3         3       11
  3        3         4       15
  3        4         1        9
  3        4         2        8
  3        4         3        9
  3        4         4       21
  3        5         1       49
  3        5         2       49
  3        5         3       17
  3        5         4       22
  3        6         1       41
  3        6         2       21
  3        6         3       48
  3        6         4       11
  3        7         1       58
  3        7         2       34
  3        7         3       28
  3        7         4       20
  4        1         1        6
  4        1         2        9
  4        1         3       20
  4        1         4        0
  4        2         1       10
  4        2         2        0
  4        2         3        7
  4        2         4        9
  4        3         1        9
  4        3         2       29
  4        3         3       22
  4        3         4        4
  4        4         1       22
  4        4         2       31
  4        4         3       32
  4        4         4       41
  4        5         1      112
  4        5         2       44
  4        5         3       24
  4        5         4       28
  4        6         1        8
  4        6         2        8
  4        6         3       11
  4        6         4       10
  4        7         1      117
  4        7         2       78
  4        7         3       36
  4        7         4       38
