Example 4-6: Yield-test weight relationship in wheat
 
          Wheat                       Test
          entry            Yield     weight
  Year    number  Block   (bu/ac)   (lb/bu)
--------------------------------------------
  2006     214      1      84.993     56.6
  2006     214      2      83.517     57.8
  2006     214      3      85.091     57.7
  2006     214      4      93.271     57.6
  2006     247      1      91.308     57.0
  2006     247      2      86.554     56.6
  2006     247      3      92.930     56.8
  2006     247      4      86.356     56.0
  2006     275      1      66.215     55.7
  2006     275      2      66.215     56.4
  2006     275      3      81.841     56.2
  2006     275      4      85.286     55.7
  2006     458      1      93.462     53.9
  2006     458      2      84.076     54.5
  2006     458      3      89.129     52.8
  2006     458      4      95.102     52.7
  2007     214      1      95.750     59.8
  2007     214      2      82.074     59.3
  2007     214      3      71.153     60.2
  2007     214      4      76.513     56.7
  2007     247      1      97.293     58.0
  2007     247      2      68.698     56.2
  2007     247      3      72.577     59.6
  2007     247      4      80.402     61.0
  2007     275      1     110.985     59.1
  2007     275      2      58.190     51.1
  2007     275      3      67.775     54.4
  2007     275      4      58.322     51.5
  2007     458      1         .       51.8
  2007     458      2     101.246     58.3
  2007     458      3      86.825     58.9
  2007     458      4      80.773     58.5
  2008     214      1      59.438     57.0
  2008     214      2      71.480     58.2
  2008     214      3      68.235     58.4
  2008     214      4      75.929     60.0
  2008     247      1      83.903     58.6
  2008     247      2      85.775     58.6
  2008     247      3      88.012     59.8
  2008     247      4      69.570     57.8
  2008     275      1      91.620     57.3
  2008     275      2      98.446     59.7
  2008     275      3      83.903     58.0
  2008     275      4      90.892     57.8
  2008     458      1      84.287     52.6
  2008     458      2      81.263     56.4
  2008     458      3      89.332     56.0
  2008     458      4      82.166     52.9
  2009     214      1     55.7370     53.4
  2009     214      2     48.7585     51.7
  2009     214      3     45.4978     54.3
  2009     214      4     50.1009     52.6
  2009     247      1     49.5782     53.7
  2009     247      2     50.1578     53.5
  2009     247      3     46.1218     53.2
  2009     247      4     53.2061     54.1
  2009     275      1     62.9626     50.8
  2009     275      2     66.8187     51.4
  2009     275      3     62.2393     52.0
  2009     275      4     66.1042     52.2
  2009     458      1     65.5235     48.7
  2009     458      2     59.7041     49.5
  2009     458      3     60.3913     50.0
  2009     458      4     58.1904     51.8
