Example 5-15: Cotton seedling fungicide study
 
                                                  Number of
                                                healthy plants
                         Number of  Days after  --------------   Total number of
Block   Plot  Fungicide   plants     planting    row1    row2     healthy plants
--------------------------------------------------------------------------------
  1      102    None        400         12        151     144          295
  1      102    None        400         20        140     126          266
  1      102    None        400         42        126     146          272
  1      103    RT          400         12        163     151          314
  1      103    RT          400         20        147     141          288
  1      103    RT          400         42        158     139          297
  1      104    DACD        400         12        151     162          313
  1      104    DACD        400         20        144     161          305
  1      104    DACD        400         42        152     160          312
  1      105    TSX         400         12        165     165          330
  1      105    TSX         400         20        156     156          312
  1      105    TSX         400         42        127     127          254
  2      201    DACD        400         12        159     149          308
  2      201    DACD        400         20        153     135          288
  2      201    DACD        400         42        139     139          278
  2      202    RT          400         12        165     143          308
  2      202    RT          400         20        153     127          280
  2      202    RT          400         42        129     120          249
  2      203    TSX         400         12        152     161          313
  2      203    TSX         400         20        141     154          295
  2      203    TSX         400         42        160     147          307
  2      204    None        400         12        166     141          307
  2      204    None        400         20        161     127          288
  2      204    None        400         42        149     127          276
  3      302    RT          400         12        165     151          316
  3      302    RT          400         20        153     137          290
  3      302    RT          400         42        140     143          283
  3      303    None        400         12        154     151          305
  3      303    None        400         20        136     131          267
  3      303    None        400         42        139     127          266
  3      304    TSX         400         12        165     161          326
  3      304    TSX         400         20        151     159          310
  3      304    TSX         400         42        156     155          311
  3      305    DACD        400         12        172     162          334
  3      305    DACD        400         20        166     158          324
  3      305    DACD        400         42        145     151          296
  4      401    DACD        400         12        166     170          336
  4      401    DACD        400         20        155     161          316
  4      401    DACD        400         42        153     166          319
  4      402    TSX         400         12        163     156          319
  4      402    TSX         400         20        147     135          282
  4      402    TSX         400         42        145     140          285
  4      403    RT          400         12        154     152          306
  4      403    RT          400         20        149     143          292
  4      403    RT          400         42        168     142          310
  4      404    None        400         12        170     148          318
  4      404    None        400         20        169     135          304
  4      404    None        400         42        150     128          278
  5      501    TSX         400         12        162     178          340
  5      501    TSX         400         20        154     162          316
  5      501    TSX         400         42        149     156          305
  5      502    None        400         12        173     156          329
  5      502    None        400         20        166     148          314
  5      502    None        400         42        162     142          304
  5      504    RT          400         12        167     174          341
  5      504    RT          400         20        156     160          316
  5      504    RT          400         42        155     159          314
  5      505    DACD        400         12        177     167          344
  5      505    DACD        400         20        162     160          322
  5      505    DACD        400         42        165     161          326
